Date,Basal energy burned(kcal)
2025-06-27,1363.996
2025-06-28,1385.207
2025-06-29,1371.410
2025-06-30,1369.376
2025-07-01,1367.416
2025-07-02,1363.801
2025-07-03,1370.214
2025-07-04,1372.583
2025-07-05,1374.742
2025-07-06,1383.975
2025-07-07,1359.346
2025-07-08,1362.460
2025-07-09,1361.428
2025-07-10,1367.555
2025-07-11,1358.587
2025-07-12,1349.384
2025-07-13,1350.018
2025-07-14,1362.246
2025-07-15,1357.791
2025-07-16,1353.850
2025-07-17,1352.119
2025-07-18,1358.570
2025-07-19,1375.950
2025-07-20,1375.284
2025-07-21,1360.639
2025-07-22,1359.958
2025-07-23,1362.072
2025-07-24,1361.587
2025-07-25,1370.383
2025-07-26,1353.457
2025-07-27,1356.780
2025-07-28,1365.979
2025-07-29,1341.849
2025-07-30,1360.650
2025-07-31,1350.869
2025-08-01,1357.866
2025-08-02,1359.990
2025-08-03,1354.744
2025-08-04,1352.804
2025-08-05,1353.918
2025-08-06,1359.689
2025-08-07,1364.645
2025-08-08,1364.582
2025-08-09,1373.793
2025-08-10,1376.223
2025-08-11,1364.707
2025-08-12,1364.836
2025-08-13,1349.406
2025-08-14,1352.063
2025-08-15,1354.113
2025-08-16,1351.118
2025-08-17,1349.132
2025-08-18,1357.790
2025-08-19,1349.920
2025-08-20,1346.712
2025-08-21,1351.064
2025-08-22,1364.728
2025-08-23,1366.416
2025-08-24,1358.127
2025-08-25,1350.223
2025-08-26,1372.917
2025-08-27,1358.915
2025-08-28,1364.288
2025-08-29,1346.718
2025-08-30,1367.642
2025-08-31,1369.759
2025-09-01,1363.669
2025-09-02,1368.164
2025-09-03,1347.765
2025-09-04,1367.290
2025-09-05,1364.866
2025-09-06,1400.310
2025-09-07,1351.411
2025-09-08,1348.337
2025-09-09,1348.215
2025-09-10,1346.499
2025-09-11,1367.052
2025-09-12,1345.219
2025-09-13,1352.553
2025-09-14,1346.197
2025-09-15,1355.684
2025-09-16,1348.677
2025-09-17,1352.013
2025-09-18,1356.672
2025-09-19,1349.145
2025-09-20,1353.876
2025-09-21,1348.303
2025-09-22,1344.707
2025-09-23,1361.833
2025-09-24,1352.423
2025-09-25,1376.149
2025-09-26,1364.508
2025-09-27,1353.247
2025-09-28,1350.702
2025-09-29,1355.843
2025-09-30,1364.144
2025-10-01,1358.253
2025-10-02,1362.790
2025-10-03,1360.459
2025-10-04,1361.277
2025-10-05,1346.140
2025-10-06,1344.979
2025-10-07,1357.254
2025-10-08,1357.971
2025-10-09,1357.475
2025-10-10,1352.506
2025-10-11,1362.628
2025-10-12,1349.761
2025-10-13,1360.312
2025-10-14,1360.955
2025-10-15,1355.700
2025-10-16,1351.854
2025-10-17,1352.388
2025-10-18,1379.218
2025-10-19,1356.098
2025-10-20,1362.012
2025-10-21,1361.842
2025-10-22,1373.230
2025-10-23,1362.442
2025-10-24,1359.436
2025-10-25,1401.367
2025-10-26,1439.228
2025-10-27,1351.090
2025-10-28,1353.017
2025-10-29,1355.693
2025-10-30,1360.948
2025-10-31,1351.764
2025-11-01,1360.443
2025-11-02,1374.760
2025-11-03,1358.434
2025-11-04,1353.663
2025-11-05,1350.838
2025-11-06,1362.445
2025-11-07,1365.213
2025-11-08,1367.492
2025-11-09,1355.115
2025-11-10,1362.355
2025-11-11,1349.470
2025-11-12,1365.607
2025-11-13,1357.882
2025-11-14,1358.693
2025-11-15,1374.378
2025-11-16,1359.823
2025-11-17,1353.115
2025-11-18,1365.196
2025-11-19,1356.227
2025-11-20,1380.474
2025-11-21,1357.387
2025-11-22,1365.505
2025-11-23,1420.183
2025-11-24,1381.765
2025-11-25,1355.883
2025-11-26,1357.673
2025-11-27,1356.474
2025-11-28,1434.212
2025-11-29,1357.511
2025-11-30,1354.754
2025-12-01,1359.221
2025-12-02,1349.843
2025-12-03,1356.320
2025-12-04,1362.871
2025-12-05,1358.350
2025-12-06,1044.388
2025-12-07,1460.015
2025-12-08,1468.669
2025-12-09,1450.067
2025-12-10,1442.666
2025-12-11,1414.808
2025-12-12,1415.398
2025-12-13,1461.285
2025-12-14,1471.413
2025-12-15,1451.591
2025-12-16,1443.360
2025-12-17,1480.023
2025-12-18,1435.904
2025-12-19,1491.754
2025-12-20,1300.466
2025-12-21,1342.680
2025-12-22,1501.733
2025-12-23,1452.232
2025-12-24,1450.377
2025-12-25,1359.161
2025-12-26,1431.172
2025-12-27,1461.985
2025-12-28,1473.991
2025-12-29,1481.136
2025-12-30,1481.429
2025-12-31,1432.975
2026-01-01,1418.755
2026-01-02,1350.176
2026-01-03,1350.176
2026-01-04,1275.617
2026-01-05,1487.331
2026-01-06,1411.898
2026-01-07,1406.824
